Poster_Link|Series_Title|Runtime_of_Series|Certificate|Runtime_of_Episodes|Genre|IMDB_Rating|Overview|Star1|Star2|Star3|Star4|No_of_Votes
https://m.media-amazon.com/images/M/MV5BNGMzMWFiODMtMmM3Yy00OGQ5LWExZTAtY2VjZDY1ZTliMzNkXkEyXkFqcGdeQXVyNDg4MjkzNDk@._V1_UY98_CR5,0,67,98_AL_.jpg|3%|(2016�2020)|18|49 min|Sci-Fi|7,4|A post-apocalyptic thriller set in near-future Brazil, where a select few are allowed to join a privileged society after undergoing an intense and competitive process.|Bianca Comparato|Vaneza Oliveira|Rodolfo Valente|Zez� Motta|21837
https://m.media-amazon.com/images/M/MV5BMTg5OTkyNzA0NF5BMl5BanBnXkFtZTcwMDYyMDUwMg@@._V1_UX67_CR0,0,67,98_AL_.jpg|24|(2001�2010)|U|44 min|Action|8,3|Jack Bauer races against the clock to subvert terrorist plots and save his nation from ultimate disaster.|Kiefer Sutherland|Mary Lynn Rajskub|Carlos Bernard|Dennis Haysbert|171876
https://m.media-amazon.com/images/M/MV5BMzNiMmNmZWQtMTJlMS00NWIyLTlhNmEtNmI3M2Q1YjczMGI4XkEyXkFqcGdeQXVyNjEwNTM2Mzc@._V1_UY98_CR5,0,67,98_AL_.jpg|9/1/2001|(2018� )|12+|43 min|Action|7,7|Explores the high-pressure experiences of the first responders who are thrust into the most frightening, shocking and heart-stopping situations.|Angela Bassett|Peter Krause|Oliver Stark|Aisha Hinds|21535
https://m.media-amazon.com/images/M/MV5BMTMxNzE4OTE2OV5BMl5BanBnXkFtZTcwNDQxMTY4MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg|90210|(2008�2013)||60 min|Comedy Drama|6,1|A Kansas family relocates to Beverly Hills, where their two children adapt to the infamous social drama of West Beverly Hills High.|Shenae Grimes-Beech|Tristan Mack Wilds|AnnaLynne McCord|Jessica Stroup|42318
https://m.media-amazon.com/images/M/MV5BYWYzMTQ1NjMtNDlmNy00NGFiLWJhMzEtYjdjZDAyMjc0YjQ3XkEyXkFqcGdeQXVyNDEwMzM3MTk@._V1_UY98_CR3,0,67,98_AL_.jpg|10 Things I Hate About You|(1999�2010)||30 min|Comedy|7,3|Based on the same-named hit movie from 1999 that starred Heath Ledger and Julia Stiles, this half-hour series returns to Padua High, where newcomers Kat and Bianca Stratford attempt to navigate the popular crowd.|Lindsey Shaw|Meaghan Martin|Ethan Peck|Nicholas Braun|5651
https://m.media-amazon.com/images/M/MV5BMTkwOTcxNzMzOV5BMl5BanBnXkFtZTgwODYxNjg0ODE@._V1_UX67_CR0,0,67,98_AL_.jpg|12 Monkeys|(2015�2018)|18|42 min|Adventure|7,7|Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will nearly destroy the human race.|Aaron Stanford|Amanda Schull|Noah Bean|Barbara Sukowa|40497
https://m.media-amazon.com/images/M/MV5BMDYzZTRlNGEtZDc2Mi00ZGNjLTlmZDAtMmVjMDZkOThiODEwXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg|13 Reasons Why|(2017�2020)|16+|60 min|Thriller|7,6|Follows teenager Clay Jensen, in his quest to uncover the story behind his classmate and crush, Hannah, and her decision to end her life.|Dylan Minnette|Katherine Langford|Christian Navarro|Alisha Boe|256630
https://m.media-amazon.com/images/M/MV5BMTYxMDA3Mzg5NV5BMl5BanBnXkFtZTgwNDIxOTcwMDI@._V1_UX67_CR0,0,67,98_AL_.jpg|2 Broke Girls|(2011�2017)|16|22 min|Comedy|6,7|Two young women waitressing at a greasy spoon diner strike up an unlikely friendship in the hopes of launching a successful business - if only they can raise the cash.|Kat Dennings|Beth Behrs|Garrett Morris|Jonathan Kite|90449
https://m.media-amazon.com/images/M/MV5BNzNiODUyYTQtNDg1Ni00OGQ5LWI5YWMtYWFhMTI1MjYyNmJjXkEyXkFqcGdeQXVyNjg2NjQwMDQ@._V1_UX67_CR0,0,67,98_AL_.jpg|21 Jump Street|(1987�1991)||60 min|Crime|7,3|The cases of an undercover police unit composed of young-looking officers specializing in youth crime.|Johnny Depp|Dustin Nguyen|Peter DeLuise|Holly Robinson Peete|10966
https://m.media-amazon.com/images/M/MV5BMzc2MjllZDQtOTgwMC00Nzg4LWFmZTctNWExYmExMmYyNjhiXkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_UX67_CR0,0,67,98_AL_.jpg|24: Legacy|(2016�2017)||41 min|Action|6,2|A military hero who returns to the U.S. with a whole lot of trouble following him back. With nowhere else to turn, the man asks CTU to help him save his life while also stopping one of the largest-scale terror attacks on American soil.|Corey Hawkins|Miranda Otto|Anna Diop|Teddy Sears|10145
https://m.media-amazon.com/images/M/MV5BMTQ4NDQ4OTUzOV5BMl5BanBnXkFtZTcwMjMzMTUyNw@@._V1_UY98_CR4,0,67,98_AL_.jpg|30 Rock|(2006�2013)||22 min|Comedy|8,2|Liz Lemon (Tina Fey), head writer of the sketch comedy show TGS with Tracy Jordan, must deal with an arrogant new boss and a crazy new star, all while trying to run a successful television show without losing her mind.|Tina Fey|Alec Baldwin|Tracy Morgan|Jack McBrayer|111988
https://m.media-amazon.com/images/M/MV5BMGMwZWU4ZjAtNTA3MC00ZDFkLWE3YzQtZjdiMTk3ZDJiMDM0XkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UY98_CR1,0,67,98_AL_.jpg|3rd Rock from the Sun|(1996�2001)||60 min|Comedy|7,7|A group of aliens are sent to Earth, disguised as a human family, to experience and report life on the third planet from the sun.|John Lithgow|Jane Curtin|Kristen Johnston|French Stewart|47111
